Date,Closing_Price,Change,Fluctuation_Rate,Opening_Price,High,Low,Volume,Trading_Value,Market_Cap
2023-08-31,2556.27,-4.95,-0.19,2564.45,2568.06,2547.72,473169,11334961.0,2025220695.0
2023-09-01,2563.71,7.44,0.29,2551.93,2568.42,2551.04,493367,10029746.0,2033321986.0
2023-09-04,2584.55,20.84,0.81,2566.93,2584.55,2560.32,342073,8699609.0,2050034096.0
2023-09-05,2582.18,-2.37,-0.09,2578.91,2586.65,2575.19,384579,7590069.0,2048141825.0
2023-09-06,2563.34,-18.84,-0.73,2577.41,2585.98,2560.09,422126,7626693.0,2033216059.0
2023-09-07,2548.26,-15.08,-0.59,2554.87,2562.42,2539.24,377271,8325827.0,2021630331.0
2023-09-08,2547.68,-0.58,-0.02,2546.07,2550.96,2530.05,396289,7718993.0,2020844444.0
2023-09-11,2556.88,9.2,0.36,2549.88,2556.89,2540.44,411070,8340733.0,2027845902.0
2023-09-12,2536.58,-20.3,-0.79,2566.42,2568.55,2535.15,359410,8927207.0,2012514265.0
2023-09-13,2534.7,-1.88,-0.07,2536.22,2549.38,2528.18,417576,9270999.0,2011458185.0
2023-09-14,2572.89,38.19,1.51,2544.89,2572.89,2541.11,412509,9577503.0,2041171664.0
2023-09-15,2601.28,28.39,1.1,2574.98,2611.0,2572.37,441730,11995227.0,2063455243.0
2023-09-18,2574.72,-26.56,-1.02,2588.69,2596.55,2573.26,416290,8772091.0,2042003996.0
2023-09-19,2559.21,-15.51,-0.6,2579.36,2583.25,2555.46,462342,7827325.0,2030125918.0
2023-09-20,2559.74,0.53,0.02,2556.55,2566.62,2551.12,414668,7571716.0,2030281560.0
2023-09-21,2514.97,-44.77,-1.75,2544.81,2549.63,2514.96,394676,7803097.0,1995558491.0
2023-09-22,2508.13,-6.84,-0.27,2491.45,2513.26,2486.14,433184,7063028.0,1988872133.0
2023-09-25,2495.76,-12.37,-0.49,2504.1,2509.38,2486.44,438615,7459545.0,1979048155.0
2023-09-26,2462.97,-32.79,-1.31,2493.64,2495.0,2461.59,427476,7060837.0,1953462573.0
2023-09-27,2465.07,2.1,0.09,2447.99,2469.72,2445.51,366241,6761281.0,1955817975.0
2023-10-04,2405.69,-59.38,-2.41,2435.78,2435.78,2402.84,424859,10244656.0,1909055584.0
2023-10-05,2403.6,-2.09,-0.09,2423.35,2426.61,2402.5,451722,9141361.0,1912222092.0
