일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2023-12-22,2599.51,-0.51,-0.02,2617.72,2621.37,2599.51,465967,8848288,2.082855845E9
2023-12-21,2600.02,-14.28,-0.55,2598.37,2610.81,2587.16,578335,9467809,2.080482828E9
2023-12-20,2614.3,45.75,1.78,2586.99,2615.38,2584.85,570423,1.1202543E7,2.091168204E9
2023-12-19,2568.55,1.69,0.07,2564.81,2570.06,2556.52,392497,8418111,2.054764999E9
2023-12-18,2566.86,3.3,0.13,2568.77,2573.13,2556.05,384828,1.0181568E7,2.053934297E9
2023-12-15,2563.56,19.38,0.76,2558.44,2574.23,2555.3,465314,1.2873295E7,2.052134144E9
2023-12-14,2544.18,33.52,1.34,2547.74,2549.65,2532.16,530123,1.2960671E7,2.036471107E9
2023-12-13,2510.66,-24.61,-0.97,2531.23,2531.23,2509.89,377934,7513617,2.010099879E9
2023-12-12,2535.27,9.91,0.39,2535.11,2543.06,2529.74,378034,7732530,2.029469553E9
2023-12-11,2525.36,7.51,0.3,2524.79,2528.89,2512.45,435004,8260508,2.021014752E9
2023-12-08,2517.85,25.78,1.03,2510.24,2521.58,2507.14,431797,7916793,2.014785075E9
2023-12-07,2492.07,-3.31,-0.13,2493.14,2499.73,2481,446877,8127636,1.993881027E9
2023-12-06,2495.38,1.1,0.04,2503.57,2509.67,2495.38,390989,7685320,1.996748972E9
2023-12-05,2494.28,-20.67,-0.82,2507.45,2509.74,2492.55,427067,8300522,1.995841255E9
2023-12-04,2514.95,9.94,0.4,2522.22,2525.63,2510.52,498861,8772367,2.012605764E9
2023-12-01,2505.01,-30.28,-1.19,2520.49,2520.49,2504.06,516596,8837750,2.004297453E9
2023-11-30,2535.29,15.48,0.61,2512.11,2535.29,2507.8,664284,1.1992488E7,2.027777361E9
2023-11-29,2519.81,-1.95,-0.08,2518.8,2523.98,2501.44,579271,9428200,2.015729696E9
2023-11-28,2521.76,26.1,1.05,2506.14,2522.45,2502.26,443090,8753424,2.017729236E9
2023-11-27,2495.66,-0.97,-0.04,2501.83,2511.37,2489.18,364744,8376476,1.994294785E9
2023-11-24,2496.63,-18.33,-0.73,2517.88,2521.56,2496.63,359383,6537961,1.995161446E9
2023-11-23,2514.96,3.26,0.13,2515.83,2522.2,2507.3,360874,6577868,2.0091359E9
2023-11-22,2511.7,1.28,0.05,2493.17,2516.72,2490.43,439485,7755316,2.00610985E9
2023-11-21,2510.42,19.22,0.77,2504.7,2517.74,2500.91,345055,7713377,2.005723542E9
2023-11-20,2491.2,21.35,0.86,2464.72,2499.75,2464.04,323806,6586445,1.990537959E9
2023-11-17,2469.85,-18.33,-0.74,2477.43,2481.1,2463.59,388974,8129523,1.974347791E9
2023-11-16,2488.18,1.51,0.06,2483.48,2491.98,2472.69,407441,6806414,1.985488314E9
2023-11-15,2486.67,53.42,2.2,2482.21,2487.42,2468.43,419843,9328219,1.984033041E9
2023-11-14,2433.25,29.49,1.23,2424.93,2442.37,2422.97,306964,6382101,1.942197248E9
2023-11-13,2403.76,-5.9,-0.24,2431.24,2435.32,2399.04,307123,5934173,1.918619319E9
